date,product_id,price,promo,sales,is_anomaly
05-01-2025,P001,289.36,FALSE,560,FALSE
06-01-2025,P001,298.33,FALSE,590,FALSE
07-01-2025,P001,294.39,FALSE,882,FALSE
08-01-2025,P001,292.53,FALSE,700,FALSE
09-01-2025,P001,294.48,FALSE,597,FALSE
10-01-2025,P001,281.74,FALSE,975,FALSE
11-01-2025,P001,286.41,FALSE,935,FALSE
12-01-2025,P001,295.35,FALSE,495,FALSE
13-01-2025,P001,302.05,FALSE,655,FALSE
14-01-2025,P001,306.62,FALSE,607,FALSE
15-01-2025,P001,305.69,FALSE,876,FALSE
16-01-2025,P001,313.6,FALSE,571,FALSE
17-01-2025,P001,320.38,FALSE,945,FALSE
18-01-2025,P001,322.87,FALSE,801,FALSE
19-01-2025,P001,322.87,FALSE,154,TRUE
20-01-2025,P001,320.51,FALSE,0,TRUE
21-01-2025,P001,312.69,FALSE,450,FALSE
22-01-2025,P001,320.42,FALSE,922,FALSE
23-01-2025,P001,306.77,FALSE,558,FALSE
24-01-2025,P001,304.48,FALSE,684,FALSE
25-01-2025,P001,305.45,FALSE,1091,FALSE
26-01-2025,P001,310.72,FALSE,753,FALSE
27-01-2025,P001,253.75,TRUE,977,FALSE
28-01-2025,P001,328.25,FALSE,630,FALSE
29-01-2025,P001,326.31,FALSE,613,FALSE
30-01-2025,P001,331.06,FALSE,479,FALSE
31-01-2025,P001,322.78,FALSE,803,FALSE
01-02-2025,P001,332.11,FALSE,481,FALSE
02-02-2025,P001,331.04,FALSE,1019,FALSE
03-02-2025,P001,326.58,FALSE,385,FALSE
04-02-2025,P001,322.4,FALSE,566,FALSE
05-02-2025,P001,321.97,FALSE,214,TRUE
06-02-2025,P001,319.42,FALSE,2353,TRUE
07-02-2025,P001,334.36,FALSE,688,FALSE
08-02-2025,P001,329.56,FALSE,777,FALSE
09-02-2025,P001,329.74,FALSE,872,FALSE
10-02-2025,P001,329.89,FALSE,606,FALSE
11-02-2025,P001,330.04,FALSE,606,FALSE
12-02-2025,P001,330.38,FALSE,721,FALSE
13-02-2025,P001,327.18,FALSE,713,FALSE
14-02-2025,P001,323.35,FALSE,197,TRUE
15-02-2025,P001,317.79,FALSE,684,FALSE
16-02-2025,P001,308.44,FALSE,888,FALSE
17-02-2025,P001,227.14,TRUE,951,FALSE
18-02-2025,P001,315.87,FALSE,638,FALSE
19-02-2025,P001,312.43,FALSE,674,FALSE
20-02-2025,P001,308.93,FALSE,863,FALSE
21-02-2025,P001,306.95,FALSE,835,FALSE
22-02-2025,P001,245.71,TRUE,1197,FALSE
23-02-2025,P001,295.46,FALSE,626,FALSE
24-02-2025,P001,303.61,FALSE,355,FALSE
25-02-2025,P001,306.25,FALSE,565,FALSE
26-02-2025,P001,301.9,FALSE,716,FALSE
27-02-2025,P001,303.67,FALSE,606,FALSE
28-02-2025,P001,300.98,FALSE,912,FALSE
01-03-2025,P001,299.68,FALSE,582,FALSE
02-03-2025,P001,301.84,FALSE,385,FALSE
03-03-2025,P001,307.62,FALSE,787,FALSE
04-03-2025,P001,317.08,FALSE,609,FALSE
05-03-2025,P001,328.04,FALSE,679,FALSE
06-03-2025,P001,326.38,FALSE,461,FALSE
07-03-2025,P001,323.1,FALSE,665,FALSE
08-03-2025,P001,323.71,FALSE,0,TRUE
09-03-2025,P001,324.51,FALSE,648,FALSE
10-03-2025,P001,319.75,FALSE,297,TRUE
11-03-2025,P001,315.77,FALSE,555,FALSE
12-03-2025,P001,217.17,TRUE,2540,TRUE
13-03-2025,P001,331.6,FALSE,1097,FALSE
14-03-2025,P001,330.07,FALSE,692,FALSE
15-03-2025,P001,325.78,FALSE,988,FALSE
16-03-2025,P001,323.91,FALSE,413,FALSE
17-03-2025,P001,317.5,FALSE,602,FALSE
18-03-2025,P001,262.7,TRUE,1094,FALSE
19-03-2025,P001,246.02,TRUE,1095,FALSE
20-03-2025,P001,317.83,FALSE,1091,FALSE
21-03-2025,P001,236.59,TRUE,1043,FALSE
22-03-2025,P001,326.7,FALSE,712,FALSE
23-03-2025,P001,329.83,FALSE,350,FALSE
24-03-2025,P001,328.81,FALSE,431,FALSE
25-03-2025,P001,337.55,FALSE,710,FALSE
26-03-2025,P001,329.36,FALSE,230,TRUE
27-03-2025,P001,327.33,FALSE,154,TRUE
28-03-2025,P001,319.71,FALSE,687,FALSE
29-03-2025,P001,261.74,TRUE,1065,FALSE
30-03-2025,P001,330.54,FALSE,512,FALSE
31-03-2025,P001,327.12,FALSE,473,FALSE
01-04-2025,P001,338.12,FALSE,816,FALSE
02-04-2025,P001,336.08,FALSE,776,FALSE
03-04-2025,P001,252.78,TRUE,985,FALSE
04-04-2025,P001,325.01,FALSE,904,FALSE
